#songs,#MHfuncs,#LSHfuncs,band,mMH,mLSH,pMH,TP,TN,FP,FN,LSH_Accuracy,LSH_Precision,LSH_Recall,LSH_F1,MH_Accuracy,MH_Precision,MH_Recall,MH_F1,threshold
1000,200,3,100,20117,20117,338563,333537,109688,36301,19974,0.887337337,0.901846214,0.943498222,0.922202146,0.941543544,0.966651674,0.951522003,0.959027171,0.1
1000,200,3,100,20117,20117,338563,336959,105030,40998,16513,0.884862863,0.891527343,0.953283428,0.921371726,0.9438999,0.968368074,0.953106379,0.960676617,0.1
1000,200,3,100,20117,20117,338563,337358,106732,35106,20304,0.889069069,0.905746596,0.943231319,0.924108989,0.945733734,0.964161695,0.960215186,0.962184393,0.1
1000,200,3,100,20117,20117,338563,342416,100077,41240,15767,0.885871872,0.892507872,0.955980602,0.923154485,0.947393393,0.964643771,0.962094717,0.963367558,0.1
1000,200,3,100,20117,20117,338563,346425,96876,41136,15063,0.887489489,0.893859289,0.958330567,0.924972866,0.94990991,0.962134289,0.968446142,0.965279898,0.1
1000,200,5,10,20117,20117,338563,2,499497,0,1,0.999997998,1,0.666666667,0.8,0.999997998,0.666666667,1,0.8,0.891
1000,200,5,10,20117,20117,338563,2,499495,0,3,0.999993994,1,0.4,0.571428571,0.999993994,0.4,1,0.571428571,0.891
1000,200,5,10,20117,20117,338563,2,499496,0,2,0.999995996,1,0.5,0.666666667,0.999995996,0.5,1,0.666666667,0.891
1000,200,5,10,20117,20117,338563,2,499498,0,0,1,1,1,1,1,1,1,1,0.891
1000,200,5,20,20117,20117,338563,8,499431,1,60,0.999877878,0.888888889,0.117647059,0.207792208,0.999923924,0.691176471,0.734375,0.712121212,0.741
1000,200,5,20,20117,20117,338563,9,499421,1,69,0.99985986,0.9,0.115384615,0.204545455,0.999931932,0.692307692,0.84375,0.76056338,0.741
1000,200,5,20,20117,20117,338563,9,499431,2,58,0.99987988,0.818181818,0.134328358,0.230769231,0.999953954,0.805970149,0.84375,0.824427481,0.741
1000,200,5,20,20117,20117,338563,12,499419,2,67,0.999861862,0.857142857,0.151898734,0.258064516,0.999913914,0.632911392,0.78125,0.699300699,0.741
1000,200,5,20,20117,20117,338563,15,499419,2,64,0.999867868,0.882352941,0.189873418,0.3125,0.999941942,0.721518987,0.890625,0.797202797,0.741
1000,200,5,50,20117,20117,338563,15932,453928,19269,10371,0.940660661,0.452600778,0.605710375,0.518080125,0.980862863,0.871763677,0.787539497,0.827514029,0.376
1000,200,5,50,20117,20117,338563,18124,449313,21011,11052,0.93580981,0.463114859,0.621195503,0.530631963,0.975395395,0.788353441,0.789978019,0.789164894,0.376
1000,200,5,50,20117,20117,338563,18861,447427,22049,11163,0.93350951,0.461036421,0.628197442,0.531790115,0.981493493,0.830935252,0.856848468,0.843692932,0.376
1000,200,5,50,20117,20117,338563,19172,439977,28827,11524,0.919217217,0.399424988,0.624576492,0.487248237,0.978666667,0.800690644,0.844140679,0.821841771,0.376
1000,200,5,50,20117,20117,338563,19742,440232,28036,11490,0.920868869,0.413202729,0.632108094,0.499734211,0.978546547,0.794569672,0.852314878,0.822429907,0.376
1000,200,5,100,20117,20117,338563,325793,118251,31835,23621,0.888976977,0.910982921,0.932398244,0.921566187,0.939223223,0.970464835,0.944204359,0.957154511,0.1
1000,200,5,100,20117,20117,338563,328001,113682,36205,21612,0.88425025,0.900591973,0.938183077,0.919003277,0.939001001,0.970038299,0.944326877,0.957009926,0.1
1000,200,5,100,20117,20117,338563,335416,106578,41134,16372,0.884872873,0.890760855,0.953460607,0.921044899,0.947663664,0.973282204,0.953379259,0.96322793,0.1
1000,200,5,100,20117,20117,338563,341283,104902,31200,22115,0.893263263,0.916237788,0.939143859,0.927549427,0.945521522,0.95668936,0.968053529,0.962337896,0.1
1000,200,5,100,20117,20117,338563,343601,102398,37171,16330,0.892890891,0.902379902,0.954630193,0.92776997,0.945891892,0.961345369,0.963484179,0.962413585,0.1
